Date,Open,High,Low,Close,Adj Close,Volume,Day
2023-03-29,399.929993,401.600006,398.679993,401.350006,396.850159,77497900,1
2023-03-30,404.089996,404.350006,401.76001,403.700012,399.173859,69840000,2
2023-03-31,404.660004,409.700012,404.549988,409.390015,404.800049,112062600,3
2023-04-03,408.850006,411.369995,408.440002,410.950012,406.34256,67391100,4
2023-04-04,411.619995,411.920013,407.23999,408.670013,404.088104,66601500,5
2023-04-05,407.910004,408.700012,405.880005,407.600006,403.030121,65200200,6
2023-04-06,406.769989,409.480011,405.679993,409.190002,404.602264,63743300,7
2023-04-10,406.609985,409.690002,405.970001,409.609985,405.017548,63681000,8
2023-04-11,410.26001,411.179993,408.920013,409.720001,405.126312,59297900,9
2023-04-12,411.869995,412.170013,407.440002,408.049988,403.475037,86420400,10
2023-04-13,409.179993,413.839996,407.98999,413.470001,408.83429,85814800,11
2023-04-14,412.809998,415.089996,410.059998,412.459991,407.835602,78161500,12
2023-04-17,412.369995,413.959991,411.089996,413.940002,409.299011,66436400,13
2023-04-18,415.579987,415.720001,412.779999,414.209991,409.565979,63560000,14
2023-04-19,412.220001,415.079987,412.160004,414.140015,409.496765,55227300,15
2023-04-20,411.209991,413.700012,410.269989,411.880005,407.262115,75840400,16
2023-04-21,412.190002,412.679993,410.170013,412.200012,407.578552,73457400,17
2023-04-24,411.98999,413.070007,410.600006,412.630005,408.003693,64332100,18
2023-04-25,410.579987,411.160004,406.019989,406.079987,401.52713,97766700,19
2023-04-26,406.720001,407.839996,403.779999,404.359985,399.826416,80447000,20
2023-04-27,407,412.690002,406.73999,412.410004,407.786163,92968400,21
2023-04-28,411.48999,415.940002,411.429993,415.929993,411.266693,89335600,22
2023-05-01,415.470001,417.619995,415.269989,415.51001,410.85141,62122300,23
2023-05-02,414.769989,414.820007,407.820007,410.839996,406.233734,103998500,24
2023-05-03,411.359985,413.869995,407.769989,408.019989,403.445374,91531800,25
2023-05-04,406.929993,407.269989,403.73999,405.130005,400.587769,94901900,26
2023-05-05,408.910004,413.720001,408.640015,412.630005,408.003693,87844000,27
2023-05-08,412.970001,413.23999,411.279999,412.73999,408.112488,50046800,28
2023-05-09,411.130005,412.089996,410.690002,410.929993,406.322754,49220100,29
2023-05-10,413.880005,414.540009,408.869995,412.850006,408.221222,96142900,30
2023-05-11,411.950012,412.429993,409.970001,412.130005,407.509308,70157100,31
2023-05-12,413.420013,413.640015,409.070007,411.589996,406.975372,70439400,32
2023-05-15,412.220001,413.429993,410.230011,413.01001,408.379425,54289400,33
2023-05-16,411.859985,412.820007,410.23999,410.25,405.65036,57705500,34
2023-05-17,412.350006,415.859985,410.640015,415.230011,410.574585,87287000,35
2023-05-18,414.899994,419.670013,414.670013,419.230011,414.529694,97177200,36
2023-05-19,420.170013,420.720001,417.350006,418.619995,413.926544,103679700,37
